,advertiser,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
45,ssekula,iphone14 128gb,Zagrebačka,rabljeno,620, kupljen 12.10.2022. te koristen do prije 3tjedna. nema skrivenih mana kupljen novi pa je ovaj visak. 4 maskice adapter 620 ukoliko se ne javim odmah na poziv ostavite poruku whatsapp sms ... pa vam se povratno javim. baterija 94% primopredaja moguca zg ka jaska ..,41716191,12.11.2023.,514
46,burakarla01,iphone 14 plavi 128 gb,Grad Zagreb,rabljeno,500,kupljen u 3 mjesecu 2023 svega par dana koristen. zdravlje baterije je 100%. stanje mobitel 9 10 ne radi prednja kamera. uz mobitel se dobije punjac i brzi adapter maskica kutija racun i garancija. prihvacam zamjene.,41962438,11.11.2023.,803
47,tehno shop vinkovci,iphone 14 pro 128gb 800 00,Vukovarsko-srijemska,rabljeno,800,star godinu dana boja crna placanje karticama cijena za gotovinu dostava pouzecem,38553663,10.11.2023.,692
48,crystalpalace146,iphone 14 128 gb,Grad Zagreb,rabljeno,650,prodajem iphone 14 128gb star 10 mjeseci sa garancijom uz mobitel dolazi kutija i kabel za punjenje mobitel je bez ikakvih ostecenja i ogrebotina ima zastitno kaljeno staklo na sebi zdravlje baterije 93% informacije iskljucivo porukom na 0997238146,41932268,09.11.2023.,605
49,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 128gb purple top novo novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,775, sve na jednom mjestu mixshop prodaje se apple iphone 14 mobitel 6gb ram 128gb interna memorija 6.1 inca display 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386576,09.11.2023.,69
50,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 128gb blue plavi top novo novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,775, sve na jednom mjestu mixshop prodaje se apple iphone 14 mobitel 6gb ram 128gb interna memorija 6.1 inca display 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386579,09.11.2023.,62
51,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 256gb black crni top novo novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,830, sve na jednom mjestu mixshop prodaje se apple iphone 14 mobitel 6gb ram 256gb interna memorija 6.1 inca display 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386574,09.11.2023.,53
52,jancvrtila06,iphone 14,Grad Zagreb,rabljeno,650,prodajem iphone 14 midnight 128 gb mobitel je u odlicnom stanju 10 10 kutija i racun star 12 mj stanje baterije 95% od prvog dana zasticen kaljenim staklom i maskom,41929063,09.11.2023.,688
53,marijanx004,iphone 14 128 plavi punjac,Grad Zagreb,rabljeno,700,mobitel kupljen 11. 2022. uredan bez ikakvih ostecenja. punjac poklanjamo.,41465344,09.11.2023.,672
54,kikiriki11111,iphone 14,Splitsko-dalmatinska,rabljeno,500,koristen 3 miseca ocuvan kao nov cijena 500 eura,41921665,08.11.2023.,357
55,Zalagaonica Karlovac,iphone 14 128gb,Karlovačka,rabljeno,680,stanje 9 10 jamstvo do 18.04.2024 baterija 100% boja midnight,41913317,07.11.2023.,135
56,anna1397,iphone 14 midnight 128 gb zakljucan,Grad Zagreb,rabljeno,400,prodajem iphone 14 128 gb midnight. ispravan ali zakljucan. sve radi u odlicnom stanju nema ogrebotina.,41912571,07.11.2023.,266
57,Girl215,iphone 14 128gb,Krapinsko-zagorska,rabljeno,670,prodajem iphone 14 128gb sierra blue. garancija mu je istekla u 9. mjesecu 2023. uz njega dajem original kutiju racun maskice i zastitna stakla. zdravlje baterije mu je 91%. za vise informacija mozete me kontaktirati mailom ili sms porukom.,41881118,05.11.2023.,123
58,simbonja,iphone 14,Grad Zagreb,rabljeno,690,iphone 14 crni 128gb racun garancija kutija maskica. otpakiran prije mjesec dana bez tragova koristenja.,41469847,04.11.2023.,406
59,Mario743,iphone 14,Zagrebačka,rabljeno,650,iphone u super stanju nije nigdje ogreban zvati iskljucivo na broj 0958661903 i 0989532019,41870242,03.11.2023.,103
60,vanjaroic1515,iphone 14 128 gb bat 89%,Grad Zagreb,rabljeno,530,iphone 14 mala fleka gore u ljevom kutu 128 gb bat 89 nista puknuto maskica kutija zastitno staklo na mobitelu otvoren na sve mreze 530 fixno,41815823,03.11.2023.,579
61,Miroze,iphone 14 256 s garancijom,Šibensko-kninska,rabljeno,720,bez ogrebotina ili slicno. od prvog dana koristen sa folijom i maskicom. garancija do 13.01.2024.,41807392,02.11.2023.,68
62,freakzoid,iphone 14 128 gb black,Istarska,rabljeno,680,iphone 14 black 128gb slabo koristen jer vecinu toga radim na ipad miniju savrseno ocuvan. baterija 99% od prve sekunde zastitno staklo i spigen maska sa slike koju poklanjam kupcu. na kamerama kaljeno staklo od prve sekunde. telefon slovom i brojkom nema nikakve niti mikro ogrebotine. kabel za punjenje tvornicki zapakiran. prodaja samo zato jer svake godine mijenjam.,41559626,01.11.2023.,219
63,mobtechnix, apple iphone 14 256gb starlight kao novi ,Istarska,rabljeno,710,apple iphone 14 256 gb starlight kao novi s racunom radi na sve mreze zdravlje baterije 89% moguce slanje postom,41758343,01.11.2023.,95
64,zagorac13,iphone 14 128gb midnight aktiviran 30.06.2023. bat 100% ,Osječko-baranjska,rabljeno,698,prodaje se navedeni uredjaj prekrasne midnight boje kupljen u osjeckom a1 centru. uredjaj je aktiviran 30.06.2023. te je od tada koristen u kvalitetnoj gel maski nano kaljeno staklo na ekranu sto dovodi do stanja poput novog otkljucan na sve mreze baterija i dalje na 100% uz sami uredjaj prilazem originalnu kutiju punog sadrzaja te originalni a1 racun dvogodisnju garanciju.,41779839,30.10.2023.,171
65,anuka_33,iphone 14 256gb starlight,Varaždinska,rabljeno,679,kao nov stanje savrseno koristen 5 mjeseci zdravlje baterije 100% racun i garancija. moguca dostava ovisno o lokaciji.,41494512,28.10.2023.,244
66,ZALAGAONICA OTKUP.HR / Zalog-Prodaja-Otkup,iphone 14 purple 128gb bat. 88% r1 rate ,Grad Zagreb,rabljeno,620,prodajemo iphone 14 128gb. kuciste uredjaja u odlicnom stanju bez crtice na staklu vidljiva minijaturna crtica. uredjaj dolazi u originalnoj kutiji s kabelom zdravlje baterije 88% uredjaj je aktiviran 1.12.2022. boja purple predmet mozete pogledati u nasoj trgovini u ilici 78. mogucnost placanja na rate mastercard visa rba do 12 rata te pbz maestro visa mastercard i visa premium karticama do 24 rate. navedene cijene su za gotovinsko placanje. mogucnost izdavanja r 1 racuna. dostava po cijeloj hrvatskoj u 72 sata. placanje prilikom preuzimanja. pouzecem . idealan poklon posjetite nasu njuskalo trgovinu ili posjetite www.otkup.hr zalagaonica otkup.hr ilica 78 ilica 235 takodjer posjetite nas instagram profil zalagaonica.otkup.hr i facebook otkup hr.zalog.otkup.prodaja sifra artikla b24216,41505231,25.09.2023.,422
67,"Ab mobile d.o.o- trgovina,gsm,elektronika,informatika,dijelovi",apple iphone 14 midnight 4 128gb rabljen ,Istarska,rabljeno,780,apple iphone 14 midnight 4 128gb rabljen uredjaj doslovno nov koristen manje od mj. dana kap. bat. 100% ima jos 11 mj. originalnu apple ovu garanciju https www.ab mobiteli.com mobiteli uredjaji apple iphone apple iphone 14 midnight 4 128gb rabljen ,39965883,14.03.2023.,232
